minimum_nights,review_scores_rating,id,neighbourhood
2,100.0,1651228,Western Addition/NOPA
4,94.0,1655446,Noe Valley
30,86.0,1657512,The Castro
3,98.0,1665516,Richmond District
1,99.0,1667732,Mission District
2,99.0,1671260,Potrero Hill
3,99.0,1673011,Mission District
30,80.0,1676460,The Castro
1,98.0,1684346,Downtown
1,98.0,1687330,Richmond District
30,88.0,1696383,Alamo Square
30,91.0,1696666,Western Addition/NOPA
2,96.0,1699390,Mission District
59,100.0,1711075,Bernal Heights
3,100.0,1721354,Haight-Ashbury
3,98.0,1724819,Twin Peaks
30,93.0,1725833,South Beach
2,96.0,1725853,Outer Sunset
6,88.0,1728497,Western Addition/NOPA
4,100.0,1733056,Mission District
1,98.0,1738415,Hayes Valley
30,96.0,1740537,Mission District
2,99.0,1743201,Western Addition/NOPA
30,96.0,1747531,Inner Sunset
2,97.0,1750093,Potrero Hill
2,99.0,1752371,Bernal Heights
2,96.0,1759087,Potrero Hill
30,93.0,1767543,Western Addition/NOPA
3,98.0,1767569,Western Addition/NOPA
30,99.0,1768239,Haight-Ashbury
3,99.0,1769688,Western Addition/NOPA
3,93.0,1774026,Mission District
5,94.0,1777429,The Castro
1,94.0,1778650,Richmond District
2,95.0,1785463,Balboa Terrace
3,100.0,1807012,Mission District
30,93.0,1807493,SoMa
3,92.0,1810486,Lower Haight
30,100.0,1814061,Noe Valley
2,98.0,1815551,Noe Valley
30,100.0,1821543,Pacific Heights
1,96.0,1827177,The Castro
31,100.0,1827638,Mission District
30,99.0,1827653,Western Addition/NOPA
30,98.0,1828443,The Castro
3,98.0,1830541,Richmond District
30,95.0,1841832,Nob Hill
30,98.0,1844117,Western Addition/NOPA
30,98.0,1844877,Potrero Hill
4,96.0,1847664,Richmond District
2,99.0,1855096,Potrero Hill
3,94.0,1857226,Glen Park
30,100.0,1861344,SoMa
3,93.0,1863106,Mission District
3,93.0,1863316,Mission District
30,96.0,1864390,Western Addition/NOPA
30,93.0,1864545,Western Addition/NOPA
30,85.0,1865406,Western Addition/NOPA
3,98.0,1868880,Pacific Heights
30,100.0,1869845,The Castro
3,100.0,1881223,Mission District
30,88.0,1885057,Haight-Ashbury
30,97.0,1886260,Western Addition/NOPA
30,94.0,1887206,Bayview
30,99.0,1898486,Noe Valley
4,100.0,1906323,Noe Valley
5,97.0,1906681,Potrero Hill
1,95.0,1907229,Western Addition/NOPA
3,100.0,1909613,Mission District
30,94.0,1914841,Western Addition/NOPA
30,97.0,1919372,Western Addition/NOPA
1,97.0,1920033,Inner Sunset
1,97.0,1925206,Portola
30,97.0,1925714,Financial District
2,96.0,1926253,Excelsior
30,99.0,1931459,Pacific Heights
1,92.0,1931763,Mission District
2,98.0,1931788,Mission District
2,99.0,1932019,Inner Sunset
4,97.0,1935904,Mission District
3,95.0,1937575,Mission District
3,100.0,1940496,Mission District
28,98.0,1944306,SoMa
2,99.0,1944564,Mission District
3,99.0,1945508,Haight-Ashbury
30,95.0,1954263,Western Addition/NOPA
3,95.0,1954514,Duboce Triangle
1,96.0,1959880,Bernal Heights
3,100.0,1960773,The Castro
6,99.0,1970257,Mission District
30,88.0,1970756,Bernal Heights
2,98.0,1975404,Lower Haight
30,98.0,1978669,SoMa
30,100.0,1979461,South Beach
30,98.0,1984709,Outer Sunset
3,97.0,1985338,Bernal Heights
1,98.0,1989997,Lower Haight
2,98.0,1992217,The Castro
60,90.0,1992988,Haight-Ashbury
2,99.0,1995487,Mission District
2,95.0,1998111,Mission Terrace
30,96.0,2001534,Bernal Heights
4,93.0,2007101,SoMa
3,84.0,2011311,Mission District
1,94.0,2016198,Outer Sunset
5,96.0,2020393,Mission District
3,100.0,2022751,Dogpatch
3,100.0,2023326,Richmond District
6,99.0,2026910,Western Addition/NOPA
2,98.0,2042095,Sunnyside
2,96.0,2046634,Mission Terrace
